18753	21050	21110	9	1	6
16832	82716	82819	9	1	4
24317	79204	79271	9	1	3
16773	67898	68008	9	1	1
17040	41500	41605	13	1	8
17104	110489	110583	13	1	2
25329	112155	112256	15	1	6
18967	82720	82815	9	2	4
16649	1934	2050	9	2	1
18895	67917	68029	9	2	1
19142	125591	125694	9	2	1
16291	78413	78484	10	2	1
18319	40902	40966	10	2	1
21294	11933	12056	13	2	6
18002	108131	108234	13	2	2
18186	112117	112274	15	2	1
21858	17778	17886	15	2	1
16685	12886	12959	9	3	1
21125	93438	93550	9	3	1
20490	149921	149986	15	3	3
20489	149857	149887	15	3	1
22625	133130	133203	15	3	1
23688	17795	17883	15	3	1
16713	35158	35233	9	4	3
17043	41627	41750	13	4	6
24780	139642	139783	13	5	2
24781	139524	139624	13	5	2
24824	8950	9134	14	5	5
17618	137840	137926	15	6	1
22329	13620	13701	15	6	1
22330	14338	14480	15	6	1
22333	14955	15052	15	6	1
16561	122643	122717	10	7	2
22312	36496	36726	10	7	1
21620	69322	69438	14	7	2
17265	73589	73752	14	7	1
23623	128052	128157	14	7	1
25187	39739	39862	15	7	1
24595	41634	41715	13	8	4
21435	10995	11055	13	8	3
21136	100787	100931	9	9	3
24771	135045	135196	13	9	7
22115	71123	71219	14	9	2
16714	35173	35223	9	10	3
21481	134430	134548	13	10	1
22114	70617	70727	14	10	2
21964	42577	42663	14	10	1
23814	119059	119148	15	10	2
22337	17170	17266	15	10	1
24180	20865	20969	9	11	5
16694	17597	17710	9	11	4
18745	17675	17748	9	11	4
24181	20939	20983	9	11	4
22109	69832	69937	14	11	2
20061	12936	13056	15	12	1
20091	26618	26747	15	12	1
21636	72023	72073	13	14	1
18740	17798	17905	9	15	4
18316	36591	36741	10	16	1
22048	122486	122562	15	16	1
